index,Consignatario,Origen,Cntr 20,Cntr 40,Flete,Categoria,Origen_ALEMANIA,Origen_BRASIL,Origen_CANADA,Origen_CHILE,Origen_CHINA,Origen_COLOMBIA,Origen_COSTA RICA,Origen_ESPAÑA,Origen_MEXICO,Origen_PAKISTAN,Origen_PANAMA,Origen_TURQUIA,Origen_USA,Origen_VIETNAM DEL NORTE
170,MERCICO PERU SA,COLOMBIA,1,0,1946.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
171,HIPERMERCADOS TOTTUS SA,CHINA,0,6,104050.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
172,EGLO PERU SAC,CHINA,0,2,32960.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
173,HIPERMERCADOS TOTTUS SA,CHINA,0,10,187195.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
174,HIPERMERCADOS TOTTUS SA,CHINA,0,10,187150.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
175,ARQUITECTURA TRANSPARENTE SA,CHILE,0,1,5850.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,ARQUITECTURA TRANSPARENTE SA,CHILE,0,1,5850.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,HIPERMERCADOS TOTTUS SA,CHINA,0,7,134550.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
178,IMPORTADORA INDUSTRIAL GALLEGOS SAC,CHINA,1,0,11975.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
179,HIPERMERCADOS TOTTUS SA,CHINA,0,10,192075.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
180,VALVERDE BEGAZO ALBAR JESUS,CHINA,0,3,33450.0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0
181,ARHUIRI PARISACA MARDY PAMELA,CHINA,0,1,11150.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
182,GRUPO ECG IMPORT SA,CHINA,0,1,15000.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
183,SEIN SRL,CHILE,1,0,5077.0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
184,INVERIEGOS Y TECNOLOGIA SAC,CHINA,0,1,15250.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
185,WING KON EIRL,CHINA,0,1,12600.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
186,INVERIEGOS Y TECNOLOGIA SAC,TURQUIA,0,1,7250.0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
187,AGROTEC ALDAIR SAC,CHINA,0,1,11375.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
188,WING KON EIRL,CHINA,0,1,12600.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
189,QUISPE SISTEMAS DE RIEGO EIRL,CHINA,0,1,13700.0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0
190,FERVAL BABY CARE SAC,PANAMA,0,1,1950.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
